order_id,order_ts,customer_id,region,channel,product_sku,product_name,category,quantity,unit_price_usd,discount_pct,order_status,shipping_days
ORD-001945,2025-01-02 18:26:31,CUST-00551,North America,online,SKU-1278,Dice Set,  Accessories ,3,31.47,0.00,refunded,5
ORD-002084,06/14/2025,CUST-00131,emea,RETAIL,SKU-1385,2000pc Star Chart,Puzzles,1,17.55,0.00,cancelled,14
ORD-001572,27-Apr-2026,CUST-00106,North America,retail,SKU-1295,Bundle Case,Trading Cards,1,12.04,0.20,refunded,9
ORD-004743,2026-04-14 02:33:38,CUST-00823,LATAM,online,SKU-1341,Expansion Key,digital,2,25.16,0.00,completed,12
ORD-002200,2025-06-04 01:45:24,CUST-00132,EMEA,retail,SKU-1365,Booster Pack,Trading Cards,2,189.42,0.25,cancelled,18
ORD-003852,10-Aug-2025,CUST-00553,EMEA,online,SKU-1175,Collector Box,Trading Cards,4,22.76,0.05,refunded,6
ORD-003370,2025-02-27 05:13:44,CUST-00500,EMEA,partner,SKU-1111,1000pc Coastline,Puzzles,1,34.47,0.00,cancelled,6
ORD-002210,2025-02-12 04:55:02,CUST-00613,APAC,partner,SKU-1132,Expansion Key,Digital,8,47.45,0.00,refunded,10
ORD-004722,07/13/2025,CUST-00943,EMEA,online,SKU-1399,Terrain Kit,MINIATURES,2,103.95,0.15,cancelled,13
ORD-001891,2026-01-30 20:57:37,CUST-00982,NORTH AMERICA,partner,SKU-1293,2000pc Star Chart,Puzzles,1,$33.25,0.00,refunded,10
ORD-002180,22-Jan-2025,CUST-00108,apac,wholesale,SKU-1029,Collector Box,TRADING CARDS,2,226.03,0.15,refunded,13
ORD-002554,04/03/2025,CUST-01186,LATAM,partner,SKU-1310,Expansion Key,Digital,3,25.21,0.00,cancelled,17
ORD-004049,06/15/2026,CUST-01263,EMEA,retail,SKU-1170,Season Pass,Digital,12,53.76,0.00,pending,4
ORD-002730,10/20/2025,CUST-00709,EMEA,partner,SKU-1083,Deck Box,Accessories,1,17.41,0.00,completed,8
ORD-003164,04/29/2025,CUST-00856,EMEA,online,SKU-1258,Dice Set,Accessories,8,31.36,0.25,refunded,5
ORD-002937,2025-03-07T18:14:38Z,CUST-00060,NORTH AMERICA,wholesale,SKU-1298,2000pc Star Chart,puzzles,2,11.48,0.00,refunded,9
ORD-003528,31-Oct-2025,CUST-00052,North America,  online ,SKU-1093,Season Pass,Digital,3,56.73,0.20,pending,11
ORD-003319,2026-03-21 21:28:20,CUST-01699,LATAM,RETAIL,SKU-1221,Starter Deck,Trading Cards,8,87.15,0.00,cancelled,10
ORD-004326,2026-01-18 05:29:42,CUST-00518,North America,retail,SKU-1135,Playmat,Accessories,1,29.81,0.25,completed,7
ORD-001407,2025-07-20 06:40:27,CUST-00188,APAC,wholesale,SKU-1286,Terrain Kit,Miniatures,1,73.22,0.05,cancelled,2
ORD-003447,08/21/2025,CUST-01028,North America,retail,SKU-1163,500pc Night Market,Puzzles,2,15.89,0.00,refunded,1
ORD-004560,2026-03-16 19:21:29,CUST-01422,  North America ,online,SKU-1124,Season Pass,Digital,2,29.80,0.00,pending,13
ORD-003983,2025-02-19 00:02:38,CUST-00453,LATAM,partner,SKU-1348,Expansion Key,Digital,1,49.29,0.00,completed,11
ORD-004581,2025-07-23 17:15:10,CUST-01142,EMEA,retail,SKU-1062,Starter Deck,  Trading Cards ,1,180.99,0.00,pending,12
ORD-000757,04/21/2025,CUST-00763,APAC,,SKU-1128,Playmat,accessories,-1,36.08,0.00,refunded,21
ORD-001050,2025-11-14 08:21:44,CUST-00557,  EMEA ,  partner ,SKU-1007,Paint Set,Miniatures,3,109.33,0.00,cancelled,18
ORD-004098,2025-03-10 07:41:20,CUST-00736,  North America ,wholesale,SKU-1246,Playmat,Accessories,1,24.81,0.05,cancelled,3
ORD-001162,2025-12-01 02:15:56,CUST-00814,North America,wholesale,SKU-1071,Dungeon Delve,Board Games,3,50.40,0.10,completed,20
ORD-004772,2025-04-17 03:04:25,CUST-00822,North America,partner,SKU-1092,Promo Tin,Trading Cards,2,4.16,0.00,pending,21
ORD-002548,2026-06-10T00:35:54Z,CUST-01251,LATAM,wholesale,SKU-1163,Trade Winds,board games,3,36.96,0.00,pending,16
ORD-001865,2026-06-05T22:06:22Z,CUST-01049,North America,retail,SKU-1024,Trade Winds,Board Games,1,56.64,0.00,cancelled,4
ORD-003145,2026-02-08T06:25:15Z,CUST-01329,LATAM,partner,SKU-1254,500pc Night Market,Puzzles,1,28.36,0.10,refunded,18
ORD-002022,2025-11-08 22:15:37,CUST-01285,APAC,  online ,SKU-1300,Dice Set,accessories,8,24.45,0.10,pending,4
ORD-003422,2026-06-11 18:35:46,CUST-01565,North America,  retail ,SKU-1008,Harvest Moon Valley,Board Games,8,20.29,0.00,pending,3
ORD-003997,2025-07-22 21:09:24,CUST-01668,North America,wholesale,SKU-1016,Expansion Key,Digital,-4,$31.41,0.00,refunded,18
ORD-003169,2025-12-14 05:50:45,CUST-00580,APAC,retail,SKU-1151,Warband Set,  Miniatures ,8,149.34,0.00,pending,2
ORD-002456,2025-11-28 20:37:32,CUST-00024,APAC,online,SKU-1161,Expansion Key,digital,5,42.37,0.00,cancelled,14
ORD-000656,2025-10-03T14:44:32Z,CUST-00513,LATAM,retail,SKU-1012,500pc Night Market,Puzzles,1,20.49,0.00,refunded,1
ORD-000237,15-Aug-2025,CUST-01368,APAC,online,SKU-1333,Dice Set,Accessories,1,20.70,0.20,completed,21
ORD-000006,2025-05-10 12:54:29,CUST-01076,LATAM,partner,SKU-1100,Card Sleeves,Accessories,5,33.55,0.00,cancelled,13
ORD-001093,2025-05-01 16:14:00,CUST-01161,EMEA,partner,SKU-1300,Cosmetic Bundle,Digital,2,56.29,0.00,completed,6
ORD-004046,2025-08-27 03:58:15,CUST-00909,North America,partner,SKU-1152,Expansion Key,Digital,2,17.68,0.00,completed,5
ORD-004625,2025-12-09T03:14:02Z,CUST-00882,  APAC ,partner,SKU-1074,Booster Pack,Trading Cards,2,107.48,0.00,cancelled,3
ORD-003044,2026-04-15 02:59:35,CUST-00807,  North America ,wholesale,SKU-1128,Terrain Kit,Miniatures,4,55.41,0.00,pending,21
ORD-003138,2025-03-15 00:21:38,CUST-00664,EMEA,retail,SKU-1345,Deck Box,Accessories,2,35.73,0.00,completed,5
ORD-003644,2025-06-22T20:23:57Z,CUST-00363,EMEA,partner,SKU-1188,Harvest Moon Valley,Board Games,8,71.20,0.20,cancelled,13
ORD-001704,2025-06-08 02:31:10,CUST-01458,EMEA,retail,SKU-1162,Promo Tin,Trading Cards,1,129.73,0.00,pending,7
ORD-000563,08/02/2025,CUST-01335,LATAM,partner,SKU-1337,Expansion Key,Digital,1,22.11,0.10,pending,11
ORD-001412,2025-03-26 23:02:34,CUST-01443,LATAM,wholesale,SKU-1207,1000pc Coastline,puzzles,1,31.19,0.20,pending,14
ORD-000630,2025-04-17 12:49:17,CUST-01271,LATAM,wholesale,SKU-1398,Castle Siege,Board Games,1,45.84,0.00,refunded,13
ORD-003667,2025-10-25 16:57:18,CUST-00264,  North America ,retail,SKU-1170,Booster Pack,Trading Cards,1,240.00,0.00,pending,17
ORD-001014,2025-05-04 18:50:20,CUST-00105,APAC,wholesale,SKU-1122,Season Pass,Digital,8,55.59,0.00,completed,14
ORD-003994,2025-12-13 03:46:21,,North America,retail,SKU-1295,Cosmetic Bundle,Digital,12,30.73,0.00,completed,15
ORD-001332,01/17/2025,CUST-01404,LATAM,  retail ,SKU-1116,Dungeon Delve,board games,2,36.45,0.00,refunded,7
ORD-002780,2025-10-22T07:46:49Z,CUST-00992,LATAM,wholesale,SKU-1129,Harvest Moon Valley,board games,2,71.55,0.00,cancelled,18
ORD-000198,10/27/2025,CUST-00697,EMEA,wholesale,SKU-1024,Terrain Kit,Miniatures,1,81.01,0.10,pending,9
ORD-002178,2026-03-14T17:13:40Z,CUST-01066,North America,wholesale,SKU-1141,Dungeon Delve,Board Games,1,$68.69,0.05,pending,15
ORD-003731,2025-06-30 01:36:36,CUST-00974,North America,partner,SKU-1018,Playmat,Accessories,5,31.46,0.00,cancelled,17
ORD-003183,27-May-2026,CUST-00226,EMEA,retail,SKU-1320,Hero Blister,Miniatures,3,52.86,0.00,refunded,13
ORD-000124,2025-04-11T18:13:43Z,CUST-00258,EMEA,partner,SKU-1284,Season Pass,Digital,2,24.69,0.00,completed,4
ORD-002480,2026-02-14 06:32:20,CUST-01567,EMEA,online,SKU-1256,Booster Pack,Trading Cards,1,247.27,0.25,refunded,10
ORD-001698,10-Nov-2025,CUST-00651,APAC,retail,SKU-1097,500pc Night Market,Puzzles,3,31.76,0.00,completed,2
ORD-002311,02/11/2026,CUST-00296,north america,wholesale,SKU-1313,Promo Tin,Trading Cards,1,109.22,0.00,cancelled,14
ORD-000276,2025-10-26 03:01:05,,APAC,wholesale,SKU-1328,Booster Pack,Trading Cards,1,163.62,0.25,cancelled,20
ORD-003699,2026-03-04 23:15:46,CUST-01652,EMEA,wholesale,SKU-1102,Cosmetic Bundle,Digital,5,8.60,0.00,refunded,4
ORD-001967,2025-12-30 00:58:53,CUST-00966,EMEA,retail,SKU-1253,Promo Tin,Trading Cards,2,102.65,0.00,cancelled,16
ORD-000517,07-Apr-2026,CUST-01749,apac,wholesale,SKU-1145,Bundle Case,Trading Cards,2,78.75,0.00,pending,2
ORD-001539,2025-04-02 16:33:29,CUST-01057,emea,partner,SKU-1019,1000pc Coastline,Puzzles,2,$24.73,0.00,pending,15
ORD-002432,08/20/2025,CUST-01567,LATAM,retail,SKU-1259,Bundle Case,Trading Cards,1,180.20,0.00,pending,8
ORD-002466,12/14/2025,CUST-01525,LATAM,partner,SKU-1045,2000pc Star Chart,Puzzles,1,11.21,0.20,completed,11
ORD-001490,2025-03-24 14:45:10,CUST-01196,APAC,wholesale,SKU-1324,Card Sleeves,Accessories,1,35.47,0.10,refunded,4
ORD-000857,2025-12-18 07:26:47,CUST-00808,APAC,partner,SKU-1338,Booster Pack,TRADING CARDS,1,56.60,0.00,pending,8
ORD-001342,2025-07-27T14:04:21Z,CUST-00199,APAC,online,SKU-1305,Dice Set,Accessories,1,18.89,0.00,completed,8
ORD-003586,11/24/2025,CUST-00195,LATAM,partner,SKU-1190,500pc Night Market,Puzzles,2,16.72,0.25,completed,7
ORD-000635,2025-12-25 14:45:07,CUST-00949,LATAM,retail,SKU-1007,Trade Winds,Board Games,4,62.92,0.00,refunded,3
ORD-000335,2025-06-07 07:37:36,CUST-01748,LATAM,online,SKU-1276,Hero Blister,Miniatures,2,131.09,0.00,completed,20
ORD-001501,2026-01-12 04:38:43,CUST-00664,EMEA,wholesale,SKU-1352,Season Pass,Digital,5,$14.52,0.15,cancelled,16
ORD-004685,2025-11-03 10:59:28,CUST-00947,APAC,retail,SKU-1266,Warband Set,Miniatures,12,28.93,0.20,cancelled,6
ORD-001667,07/07/2025,CUST-00666,LATAM,retail,SKU-1064,500pc Night Market,Puzzles,1,$27.55,0.00,pending,11
ORD-000406,2026-03-09T05:42:19Z,CUST-01567,North America,retail,SKU-1269,Paint Set,Miniatures,2,48.16,0.05,cancelled,10
ORD-002510,2025-03-21 00:08:16,CUST-00447,LATAM,partner,SKU-1165,Collector Box,TRADING CARDS,2,58.96,0.00,refunded,5
ORD-000759,2025-01-29 12:33:04,CUST-01055,NORTH AMERICA,wholesale,SKU-1356,Booster Pack,Trading Cards,3,114.77,0.20,pending,20
ORD-001160,2025-07-29 04:49:56,CUST-00442,EMEA,online,SKU-1192,Signal Fire,Board Games,2,24.38,0.10,completed,20
ORD-001684,2025-04-03 23:43:15,CUST-01255,EMEA,partner,SKU-1212,1000pc Coastline,Puzzles,3,28.15,0.00,completed,16
ORD-002957,2025-12-16 04:01:35,CUST-01026,North America,WHOLESALE,SKU-1127,Season Pass,Digital,3,28.78,0.10,refunded,3
ORD-004920,26-Apr-2026,CUST-00787,north america,retail,SKU-1030,Paint Set,Miniatures,12,62.59,0.00,pending,7
ORD-002117,2026-01-31 13:00:14,CUST-00512,APAC,retail,SKU-1172,Promo Tin,  Trading Cards ,4,53.63,0.00,pending,4
ORD-003610,2026-01-15 05:51:34,CUST-01156,EMEA,wholesale,SKU-1245,Playmat,Accessories,1,13.18,0.00,refunded,3
ORD-001954,2025-12-04 22:46:28,CUST-01749,EMEA,retail,SKU-1232,Season Pass,digital,1,44.74,0.00,completed,7
ORD-001433,06/05/2025,CUST-01539,APAC,wholesale,SKU-1087,1000pc Coastline,Puzzles,5,20.95,0.20,completed,6
ORD-000711,05-Aug-2025,CUST-01128,LATAM,retail,SKU-1088,Deck Box,Accessories,4,18.23,0.00,pending,17
ORD-004993,03/12/2025,CUST-00350,APAC,online,SKU-1089,Booster Pack,  Trading Cards ,-2,43.93,0.15,completed,10
ORD-000038,01/20/2025,CUST-01740,LATAM,wholesale,SKU-1155,Deck Box,Accessories,1,25.05,0.00,refunded,7
ORD-003776,05/08/2025,CUST-01796,APAC,retail,SKU-1162,Dice Set,Accessories,8,35.41,0.00,cancelled,11
ORD-003419,22-Jul-2025,CUST-01011,EMEA,online,SKU-1326,Dice Set,Accessories,1,29.39,0.05,completed,9
ORD-000553,2026-03-28 17:29:55,CUST-01489,North America,online,SKU-1108,Bundle Case,Trading Cards,1,$132.51,0.00,refunded,9
ORD-001075,2026-06-29T02:22:42Z,CUST-00417,,online,SKU-1232,Trade Winds,board games,1,23.16,0.05,cancelled,14
ORD-002764,02/07/2026,CUST-01143,EMEA,retail,SKU-1175,Booster Pack,Trading Cards,2,37.23,0.00,cancelled,8
ORD-001396,2025-08-16 22:16:48,CUST-01159,  EMEA ,retail,SKU-1366,Cosmetic Bundle,Digital,2,46.30,0.00,refunded,15
ORD-001058,09/02/2025,CUST-01494,EMEA,wholesale,SKU-1323,Dungeon Delve,Board Games,3,23.49,0.00,completed,15
ORD-002085,2026-05-26 03:24:30,CUST-00276,LATAM,PARTNER,SKU-1053,Terrain Kit,Miniatures,12,132.47,0.25,pending,2
ORD-004710,2025-07-08 02:56:21,CUST-00072,EMEA,retail,SKU-1005,Trade Winds,Board Games,1,68.09,0.20,refunded,3
ORD-004976,10/24/2025,CUST-00640,EMEA,partner,SKU-1207,Warband Set,Miniatures,3,121.68,0.00,pending,17
ORD-003161,03/08/2026,CUST-01344,APAC,partner,SKU-1109,Hero Blister,Miniatures,2,$48.69,0.25,pending,4
ORD-003748,2025-08-26 15:37:33,CUST-01442,APAC,partner,SKU-1247,Dungeon Delve,Board Games,3,43.26,0.00,cancelled,6
ORD-002219,08/03/2025,CUST-00012,APAC,wholesale,SKU-1043,500pc Night Market,Puzzles,1,15.93,0.25,completed,12
ORD-001376,2025-06-21 13:04:34,CUST-01708,north america,online,SKU-1389,Booster Pack,Trading Cards,3,$196.80,0.00,refunded,2
ORD-002522,2026-05-01 02:53:48,CUST-00136,APAC,partner,SKU-1072,Playmat,Accessories,1,22.87,0.00,pending,15
ORD-000793,2025-07-10 22:24:50,CUST-00422,APAC,online,SKU-1295,2000pc Star Chart,Puzzles,1,21.55,0.00,refunded,1
ORD-003736,11/02/2025,CUST-01654,APAC,partner,SKU-1218,Deck Box,Accessories,2,36.75,0.25,pending,5
ORD-000240,2026-03-23 09:45:48,CUST-00854,apac,retail,SKU-1093,Season Pass,Digital,2,44.68,0.00,pending,13
ORD-004954,2025-09-29 18:52:51,CUST-01284,apac,wholesale,SKU-1354,Card Sleeves,ACCESSORIES,4,35.85,0.20,refunded,10
ORD-004727,2026-01-07 13:28:26,CUST-00154,APAC,online,SKU-1173,Trade Winds,  Board Games ,4,79.27,0.00,pending,20
ORD-003991,2025-09-01 20:11:08,CUST-00826,LATAM,retail,SKU-1214,Dungeon Delve,Board Games,1,64.51,0.00,completed,13
ORD-000231,2025-08-11 13:26:30,CUST-00656,emea,  retail ,SKU-1128,Card Sleeves,accessories,3,24.81,0.00,refunded,10
ORD-000554,01/08/2026,CUST-01058,North America,retail,SKU-1098,Trade Winds,Board Games,2,53.69,0.00,cancelled,14
ORD-002840,2026-05-22 14:04:26,CUST-00771,EMEA,partner,SKU-1246,Expansion Key,Digital,2,51.35,0.00,cancelled,7
ORD-004396,2025-08-25T16:32:43Z,CUST-00573,LATAM,wholesale,SKU-1306,2000pc Star Chart,Puzzles,2,32.97,0.00,pending,12
ORD-000959,2025-09-17 11:07:35,CUST-00643,EMEA,wholesale,SKU-1120,Dice Set,Accessories,3,16.36,0.15,refunded,5
ORD-000136,2025-08-29 19:29:38,CUST-00281,North America,online,SKU-1286,1000pc Coastline,Puzzles,2,29.94,0.00,refunded,14
ORD-000032,16-May-2026,CUST-01279,APAC,wholesale,SKU-1128,Card Sleeves,Accessories,2,37.27,0.00,pending,2
ORD-003814,2025-02-19 16:03:35,CUST-00517,EMEA,online,SKU-1339,Card Sleeves,Accessories,1,9.96,0.00,refunded,14
ORD-000769,2025-03-28 05:20:24,CUST-00352,APAC,retail,SKU-1076,Paint Set,Miniatures,1,43.29,0.00,cancelled,15
ORD-004875,2025-02-27T01:38:26Z,CUST-01531,EMEA,wholesale,SKU-1123,Warband Set,MINIATURES,2,105.67,0.00,cancelled,11
ORD-000420,2025-05-05 23:04:21,CUST-01189,EMEA,online,SKU-1051,Starter Deck,Trading Cards,2,166.70,0.00,refunded,10
ORD-001114,05/02/2025,CUST-01544,emea,online,SKU-1049,Season Pass,Digital,2,11.96,0.00,cancelled,16
ORD-004860,2025-05-21 21:26:34,CUST-01671,APAC,retail,SKU-1159,500pc Night Market,Puzzles,1,13.52,0.10,cancelled,8
ORD-003747,2026-03-21 05:43:58,CUST-01181,  LATAM ,retail,SKU-1286,Dice Set,Accessories,3,31.75,0.00,pending,4
ORD-003497,2025-02-25T15:43:23Z,CUST-01481,EMEA,wholesale,SKU-1255,Playmat,Accessories,5,13.87,0.15,pending,16
ORD-004897,10-Jan-2026,CUST-01741,LATAM,wholesale,SKU-1157,Terrain Kit,miniatures,1,53.38,0.00,pending,9
ORD-001245,2026-05-26T19:16:18Z,CUST-01781,APAC,partner,SKU-1310,Hero Blister,Miniatures,1,28.43,0.25,completed,2
ORD-004358,2025-02-09 04:36:09,CUST-01393,LATAM,partner,SKU-1101,Terrain Kit,  Miniatures ,-2,121.75,0.00,cancelled,3
ORD-004164,2025-12-15 04:29:29,CUST-01689,NORTH AMERICA,  wholesale ,SKU-1308,500pc Night Market,puzzles,3,28.90,0.00,cancelled,7
ORD-001791,15-Oct-2025,CUST-00023,EMEA,  wholesale ,SKU-1326,Dungeon Delve,Board Games,3,76.82,0.00,refunded,20
ORD-001617,05/11/2025,CUST-00229,APAC,partner,SKU-1182,Playmat,Accessories,2,35.22,0.00,refunded,16
ORD-004404,2025-02-09 10:01:49,CUST-00809,APAC,WHOLESALE,SKU-1283,Season Pass,Digital,3,44.85,0.00,cancelled,12
ORD-002260,03/31/2026,CUST-00579,EMEA,wholesale,SKU-1254,Bundle Case,Trading Cards,5,116.44,0.00,refunded,15
ORD-000760,07-Jun-2026,CUST-01415,APAC,retail,SKU-1224,Warband Set,Miniatures,1,91.22,0.05,cancelled,4
ORD-002270,30-Jun-2025,CUST-00646,North America,online,SKU-1229,Signal Fire,Board Games,1,57.45,0.00,refunded,12
ORD-003366,2026-03-24 22:05:39,CUST-00095,EMEA,  partner ,SKU-1156,2000pc Star Chart,puzzles,1,23.70,0.00,refunded,1
ORD-000438,2025-09-12 11:28:56,CUST-00827,EMEA,wholesale,SKU-1400,Paint Set,Miniatures,2,102.07,0.15,cancelled,4
ORD-001056,2025-12-26 04:13:34,CUST-01330,emea,RETAIL,SKU-1368,Paint Set,Miniatures,2,108.14,0.00,completed,21
ORD-003031,2026-02-20 20:58:03,CUST-01530,  APAC ,online,SKU-1088,Terrain Kit,Miniatures,2,73.35,0.00,cancelled,13
ORD-003139,2025-10-03 08:49:55,CUST-00547,North America,wholesale,SKU-1077,Promo Tin,Trading Cards,3,$65.53,0.10,refunded,12
ORD-000174,02/21/2025,CUST-00584,north america,wholesale,SKU-1161,Season Pass,digital,2,1.60,0.25,cancelled,10
ORD-003403,2025-02-26T22:08:13Z,CUST-00700,North America,retail,SKU-1050,Trade Winds,Board Games,3,18.64,0.00,completed,4
ORD-003312,2026-04-12 14:23:19,CUST-01791,North America,partner,SKU-1004,Trade Winds,Board Games,3,46.55,0.00,cancelled,4
ORD-000984,2026-04-17T15:24:02Z,CUST-00204,LATAM,partner,SKU-1025,Paint Set,Miniatures,4,93.27,0.00,completed,9
ORD-002633,2025-12-17 06:47:13,CUST-00636,LATAM,retail,SKU-1164,Hero Blister,Miniatures,12,124.99,0.20,cancelled,3
ORD-003376,05/01/2025,CUST-01274,North America,retail,SKU-1157,2000pc Star Chart,Puzzles,2,11.89,0.00,pending,7
ORD-000679,2025-02-16 13:59:32,CUST-01480,EMEA,partner,SKU-1065,Terrain Kit,Miniatures,5,56.93,0.05,completed,15
ORD-002521,2025-09-23 04:51:00,CUST-00324,LATAM,retail,SKU-1327,Expansion Key,Digital,1,42.77,0.00,refunded,7
ORD-003946,05/05/2026,CUST-00183,  North America ,online,SKU-1133,2000pc Star Chart,Puzzles,1,20.11,0.10,cancelled,5
ORD-002666,2025-09-13 15:42:17,,LATAM,wholesale,SKU-1253,Signal Fire,Board Games,1,16.81,0.00,refunded,19
ORD-000981,10/30/2025,CUST-00622,LATAM,wholesale,SKU-1159,Castle Siege,Board Games,1,41.23,0.00,refunded,11
ORD-002991,14-Apr-2025,CUST-01281,EMEA,PARTNER,SKU-1154,Warband Set,Miniatures,2,105.00,0.00,cancelled,15
ORD-000849,11/16/2025,CUST-01060,North America,  retail ,SKU-1288,Dungeon Delve,Board Games,1,$30.39,0.00,refunded,5
ORD-002105,2026-03-25 15:29:23,CUST-01187,EMEA,partner,SKU-1149,Dice Set,Accessories,1,26.71,0.00,pending,3
ORD-002066,31-Mar-2026,CUST-01426,LATAM,wholesale,SKU-1306,Cosmetic Bundle,Digital,2,12.22,0.00,refunded,13
ORD-000600,2025-04-02T06:34:49Z,CUST-01647,  North America ,partner,SKU-1058,Cosmetic Bundle,Digital,1,24.44,0.00,pending,16
ORD-002741,2025-02-17 06:05:57,CUST-00138,LATAM,retail,SKU-1055,Deck Box,Accessories,1,6.01,0.00,pending,13
ORD-004001,2025-07-13 11:26:18,CUST-00272,APAC,partner,SKU-1166,1000pc Coastline,Puzzles,5,31.31,0.05,refunded,20
ORD-004948,04/11/2025,CUST-01537,EMEA,partner,SKU-1256,Paint Set,Miniatures,2,86.82,0.00,refunded,7
ORD-002048,2025-12-25 12:38:12,CUST-01444,North America,wholesale,SKU-1342,Promo Tin,Trading Cards,1,$100.99,0.05,completed,16
ORD-001299,2025-03-18 13:47:37,CUST-00859,LATAM,partner,SKU-1069,Signal Fire,Board Games,2,61.58,0.00,refunded,1
ORD-000557,2025-03-15 13:48:03,CUST-00904,North America,wholesale,SKU-1150,Deck Box,accessories,3,39.88,0.00,refunded,13
ORD-000447,2025-10-29 17:56:45,CUST-00291,APAC,wholesale,SKU-1298,Cosmetic Bundle,Digital,1,3.16,0.00,cancelled,20
ORD-000735,2025-10-05 16:57:08,CUST-01310,EMEA,wholesale,SKU-1273,1000pc Coastline,Puzzles,1,31.27,0.00,cancelled,8
ORD-002538,2025-07-13 17:04:07,CUST-01606,LATAM,retail,SKU-1131,Signal Fire,Board Games,3,79.92,0.10,completed,19
ORD-001026,2025-04-24 16:07:32,CUST-00180,LATAM,online,SKU-1385,Signal Fire,Board Games,8,55.64,0.00,pending,12
ORD-001218,10/06/2025,CUST-00340,APAC,partner,SKU-1365,Dungeon Delve,Board Games,1,67.57,0.00,pending,6
ORD-004833,2025-08-01 20:06:17,CUST-01361,North America,RETAIL,SKU-1060,Playmat,Accessories,-3,34.37,0.00,refunded,8
ORD-000665,03-Mar-2026,CUST-01328,LATAM,wholesale,SKU-1094,Season Pass,Digital,2,45.10,0.00,pending,13
ORD-000818,04/18/2026,CUST-01731,APAC,retail,SKU-1362,2000pc Star Chart,Puzzles,1,$20.60,0.00,pending,10
ORD-000097,14-Feb-2026,CUST-00198,EMEA,wholesale,SKU-1311,Season Pass,Digital,3,26.15,0.15,cancelled,6
ORD-001950,2025-10-31 01:25:25,CUST-00891,APAC,partner,SKU-1029,500pc Night Market,Puzzles,1,$11.68,0.00,completed,7
ORD-000586,26-Feb-2026,CUST-00380,LATAM,online,SKU-1040,Warband Set,Miniatures,1,112.39,0.00,refunded,13
ORD-004634,2026-01-22 21:38:06,CUST-01612,latam,partner,SKU-1247,Warband Set,Miniatures,8,65.31,0.00,cancelled,19
ORD-000661,2025-02-24 02:53:58,CUST-00360,North America,retail,SKU-1114,Castle Siege,Board Games,2,24.04,0.00,pending,5
ORD-003480,04/14/2026,CUST-00538,EMEA,partner,SKU-1246,Promo Tin,Trading Cards,-2,34.84,0.00,cancelled,16
ORD-003331,2025-05-17 08:15:31,CUST-01699,North America,online,SKU-1020,Bundle Case,TRADING CARDS,1,82.59,0.15,refunded,10
ORD-002235,06/10/2026,CUST-00730,APAC,online,SKU-1060,Promo Tin,Trading Cards,1,232.35,0.05,pending,7
ORD-000610,2025-01-02 21:55:23,CUST-01608,APAC,wholesale,SKU-1011,Trade Winds,Board Games,2,46.36,0.00,cancelled,14
ORD-000830,2026-05-13 19:47:35,CUST-00296,APAC,partner,SKU-1005,Castle Siege,Board Games,2,50.40,0.00,cancelled,4
